2021-03-09 04:20:59,53693.95
2021-03-09 04:21:59,53673.79
2021-03-09 04:22:59,53649.98
2021-03-09 04:23:59,53591.47
2021-03-09 04:24:59,53674.8
2021-03-09 04:25:59,53716.84
2021-03-09 04:26:59,53688.95
2021-03-09 04:27:59,53720.46
2021-03-09 04:28:59,53712.86
2021-03-09 04:29:59,53856.84
2021-03-09 04:30:59,53799.26
2021-03-09 04:31:59,53767.71
2021-03-09 04:32:59,53786.3
2021-03-09 04:33:59,53826.94
2021-03-09 04:34:59,53804.66
2021-03-09 04:35:59,53779.99
2021-03-09 04:36:59,53799.95
2021-03-09 04:37:59,53830.17
2021-03-09 04:38:59,53829.14
2021-03-09 04:39:59,53894.84
2021-03-09 04:40:59,53856.36
2021-03-09 04:41:59,53850.0
2021-03-09 04:42:59,53896.56
2021-03-09 04:43:59,53928.08
2021-03-09 04:44:59,53907.52
2021-03-09 04:45:59,53976.69
2021-03-09 04:46:59,53962.12
2021-03-09 04:47:59,53994.99
2021-03-09 04:48:59,53963.77
2021-03-09 04:49:59,53920.01
2021-03-09 04:50:59,53844.38
2021-03-09 04:51:59,53822.39
2021-03-09 04:52:59,53841.25
2021-03-09 04:53:59,53872.76
2021-03-09 04:54:59,53878.32
2021-03-09 04:55:59,53884.03
2021-03-09 04:56:59,53792.99
2021-03-09 04:57:59,53713.92
2021-03-09 04:58:59,53700.01
2021-03-09 04:59:59,53678.88
2021-03-09 05:00:59,53746.78
2021-03-09 05:01:59,53741.48
2021-03-09 05:02:59,53729.93
2021-03-09 05:03:59,53760.5
2021-03-09 05:04:59,53789.98
2021-03-09 05:05:59,53806.83
2021-03-09 05:06:59,53866.1
2021-03-09 05:07:59,53961.3
2021-03-09 05:08:59,53966.6
2021-03-09 05:09:59,53902.52
2021-03-09 05:10:59,53983.88
2021-03-09 05:11:59,53975.59
2021-03-09 05:12:59,53943.61
2021-03-09 05:13:59,53960.43
2021-03-09 05:14:59,53943.13
2021-03-09 05:15:59,53885.51
2021-03-09 05:16:59,53938.89
2021-03-09 05:17:59,53994.63
2021-03-09 05:18:59,54005.46
2021-03-09 05:19:59,54106.28
2021-03-09 05:20:59,54291.88
2021-03-09 05:21:59,54246.33
2021-03-09 05:22:59,54283.88
